id,name,year
598,Wicked: Part One,1991
599,Annihilation,2024
600,The Proposal,2024
601,Bohemian Rhapsody,2024
602,Elvis,2024
603,Catch Me If You Can,2024
604,Irréversible,2024
605,A Haunting in Venice,2024
606,The Descent,2024
607,Pretty Baby,2024
608,Sisu,2024
609,Zootopia,2024
610,Rocketman,2024
611,Hundreds of Beavers,2024
612,Fancy Dance,2024
613,Psycho,2024
614,Ready or Not,2024
615,Kill Bill: Vol. 2,2024
616,Predator,2024
617,Suspiria,2024
618,Uncharted,2024
619,Clueless,2024
620,Fast Times at Ridgemont High,2024
621,Police Academy,2024
622,A Bronx Tale,2024
623,"LaRoy, Texas",2024
624,Jumanji: The Next Level,2024
625,Kong: Skull Island,2024
626,Grown Ups 2,2024
627,Spaceballs,2024
628,Dronningen,2024
629,Imaginary,2024
630,La belle et la bête,2024
631,Office Space,2024
632,Puss in Boots: The Last Wish,2024
633,Kids,2024
634,Gerald's Game,2024
635,Basic Instinct,2024
636,The Rover,2024
637,Malèna,2024
638,Encanto,2024
639,Casino,2024
640,The Flood,2024
641,Evil Dead Rise,2024
642,The Exorcist,2024
643,Maidaan,2024
644,The Exorcism,2024
645,Raiders of the Lost Ark,2024
646,The Hunger Games: Catching Fire,2024
647,A Simple Favor,2024
648,The Unbearable Weight of Massive Talent,2012
649,Tron: Ares,2012
650,The Goat Life,2012
651,The Accountant,2012
652,Aftersun,2012
653,Dirty Dancing,2012
654,Reservoir Dogs,2012
655,A Man Called Otto,2012
656,X2,2012
657,A Quiet Place Part II,2012
658,La mesita del comedor,2012
659,Her,2012
660,Masters of the Universe,2012
661,Dunkirk,2012
662,Jagten,2012
663,Tusk,2012
664,Scream,2012
665,Tropic Thunder,2012
666,E.T. the Extra-Terrestrial,2012
667,Full Metal Jacket,2012
668,Edge of Tomorrow,2012
669,The Last of the Mohicans,2012
670,The Baby,2012
671,Liar Liar,2012
672,Spider-Man: Into the Spider-Verse,2012
673,Dark Passage,2012
674,Bring It On,2012
675,Gekijôban Spy x Family Code: White,2012
676,Speak No Evil,2012
677,Star Trek Beyond,2012
678,Der Untergang,2012
679,Deep Water,2012
680,King Kong,2012
681,The Amazing Spider-Man,2012
682,Kick-Ass,2012
683,Nobody,2012
684,The Thing,2012
685,The Imitation Game,2012
686,Bridesmaids,2012
687,Legally Blonde,2012
688,Harry Potter and the Chamber of Secrets,2012
689,Jurassic World 4,2012
690,Fargo,2012
691,The Place Beyond the Pines,2012
692,Secretary,2012
693,Fury,2012
694,The Banshees of Inisherin,2012
695,Martyrs,2012
696,Scream,2012
697,A Few Good Men,2012
698,Ghostbusters,1996
699,Passengers,1996
700,Atlas,1996
701,The Devil's Advocate,1996
702,Kimi no na wa.,1996
703,There's Something About Mary,1996
704,Elemental,1996
705,Habitación en Roma,1996
706,The Whale,1996
707,Mrs. Doubtfire,1996
708,Cannibal Holocaust,1996
709,Mamma Mia!,1996
710,Coco,1996
711,Operation Fortune: Ruse de Guerre,1996
712,White Chicks,1996
713,The Princess Diaries,1996
714,Armageddon,1996
715,Trainspotting,1996
716,Prey,1996
717,Jurassic World: Fallen Kingdom,1996
718,Shrek 2,1996
719,The Exorcist: Believer,1996
720,About Time,1996
721,Cowboys & Aliens,1996
722,Hauru no ugoku shiro,1996
723,Ghosted,1996
724,Yodha,1996
725,Mother's Day,1996
726,Finding Nemo,1996
727,"Monsters, Inc.",1996
728,Everybody Wants Some!!,1996
729,True Romance,1996
730,Hamilton,1996
731,Independence Day,1996
732,The Social Network,1996
733,The Wizard of Oz,1996
734,The Bricklayer,1996
735,The Green Knight,1996
736,Sonic the Hedgehog 2,1996
737,Doctor Sleep,1996
738,They Live,1996
739,Scott Pilgrim vs. the World,1996
740,The Last Samurai,1996
741,West Side Story,1996
742,Pain Hustlers,1996
743,Black Widow,1996
744,That's My Boy,1996
745,Rocky,1996
746,Me Before You,1996
747,Inside Man,2005
748,Napoleon Dynamite,2005
749,Pâfekuto burû,2005
750,Death Proof,2005
751,Man of Steel,2005
752,Bodies Bodies Bodies,2005
753,Freelance,2005
754,Dumb Money,2005
755,Sonic the Hedgehog,2005
756,The Guest,2005
757,Dumb and Dumber,2005
758,Beverly Hills Cop: Axel F,2005
759,Total Recall,2005
760,The Abyss,2005
761,The Tomorrow War,2005
762,Scouts Guide to the Zombie Apocalypse,2005
763,Toy Story,2005
764,Caddyshack,2005
765,Cashback,2005
766,Casablanca,2005
767,Thirteen,2005
768,In Time,2005
769,Jurassic World,2005
770,Now You See Me,2005
771,Willy Wonka & the Chocolate Factory,2005
772,The Fast and the Furious,2005
773,Beautiful Boy,2005
774,Vicky Cristina Barcelona,2005
775,The Mask,2005
776,Terrifier 2,2005
777,Atonement,2005
778,Red One,2005
779,Mr. & Mrs. Smith,2005
780,Sin City,2005
781,Winnie-the-Pooh: Blood and Honey,2005
782,Charlie and the Chocolate Factory,2005
783,Godzilla: King of the Monsters,2005
784,Knock Knock,2005
785,Salinui chueok,2005
786,The Grand Budapest Hotel,2005
787,Savageland,2005
788,Lo imposible,2005
789,Beauty and the Beast,2005
790,Legend,2005
791,Black Hawk Down,2005
792,Man on Fire,2005
793,A Face in the Crowd,2005
794,Trading Places,2005
795,There Will Be Blood,2005
796,The King,2023
797,Wrong Turn,2023
798,The Intouchables,2023
799,Snack Shack,2023
800,Shane,2023
801,The Predator,2023
802,Caligola,2023
803,Strictly Confidential,2023
804,Out of Darkness,2023
805,Under the Silver Lake,2023
806,Lucy,2023
807,Materialists,2023
808,Uncut Gems,2023
809,Excalibur,2023
810,Space Jam,2023
811,The Irishman,2023
812,The Great Escape,2023
813,Coherence,2023
814,Indiana Jones and the Last Crusade,2023
815,Matilda,2023
816,Labyrinth,2023
817,The Dead Don't Hurt,2023
818,Finestkind,2023
819,Interview with the Vampire: The Vampire Chronicles,2023
820,Sing,2023
821,The Human Centipede (First Sequence),2023
822,Kick-Ass 2,2023
823,The Favourite,2023
824,Maze Runner: The Death Cure,2023
825,World War Z,2023
826,Marry Me,2023
827,The Sandlot,2023
828,Falling Down,2023
829,La bête,2023
830,Spartacus,2023
831,A Star Is Born,2023
832,Magnolia,2023
833,Escape from the Planet of the Apes,2023
834,Cape Fear,2023
835,The Perks of Being a Wallflower,2023
836,Irish Wish,2023
837,Hack Your Health: The Secrets of Your Gut,2023
838,Jojo Rabbit,2023
839,Scary Movie,2023
840,Frozen,2023
841,The Hunt,2023
842,Curiosa,2023
843,Spider-Man: Homecoming,2023
844,Infinity Pool,2023
845,Conan the Barbarian,2023
846,V for Vendetta,2016
847,Casino Royale,2016
848,2012,2016
849,Constantine 2,2016
850,Moneyball,2016
851,The Day After Tomorrow,2016
852,The Incredibles,2016
853,Terrifier,2016
854,The Wolverine,2016
855,Let It Be,2016
856,Harry Potter and the Deathly Hallows - Part 1,2016
857,Woody Woodpecker Goes to Camp,2016
858,Now and Then,2016
859,C'è ancora domani,2016
860,The Boy in the Striped Pajamas,2016
861,"Lock, Stock and Two Smoking Barrels",2016
862,Bone Tomahawk,2016
863,Last Night in Soho,2016
864,Wild Things,2016
865,Puppy Love,2016
866,Up,2016
867,Aladdin,2016
868,Bastarden,2016
869,Premalu,2016
870,Moulin Rouge!,2016
871,Venom: The Last Dance,2016
872,Speed,2016
873,Wake in Fright,2016
874,Tangled,2016
875,The Karate Kid,2016
876,Saw,2016
877,The Outfit,2016
878,Under the Skin,2016
879,Hell or High Water,2016
880,The Lost City,2016
881,The Game,2016
882,Beau Is Afraid,2016
883,Spider-Man: Beyond the Spider-Verse,2016
884,The Greatest Hits,2016
885,Blazing Saddles,2016
886,EuroTrip,2016
887,The Gift,2016
888,American Graffiti,2016
889,Vertigo,2016
890,Big,2016
891,Shadow in the Cloud,2016
892,Rumble Fish,2016
893,Eurovision Song Contest: The Story of Fire Saga,2016
894,The Heartbreak Kid,2016
895,War of the Worlds,2016
896,Blue Valentine,1990
897,Ghost,1990
898,Le fabuleux destin d'Amélie Poulain,1990
899,Meet Joe Black,1990
900,Spider-Man 3,1990
901,Raintree County,1990
902,Zack Snyder's Justice League,1990
903,The Mummy Returns,1990
904,Blue Beetle,1990
905,WALL·E,1990
906,Harry Potter and the Half-Blood Prince,1990
907,The Parent Trap,1990
908,Traffic,1990
909,Cinderella,1990
910,Footloose,1990
911,Il portiere di notte,1990
912,Young Frankenstein,1990
913,Wind River,1990
914,Patriots Day,1990
915,Rite Here Rite Now,1990
916,27 Dresses,1990
917,Wonder,1990
918,We Need to Talk About Kevin,1990
919,Into the Wild,1990
920,Lee,1990
921,Pirates of the Caribbean: Dead Man's Chest,1990
922,Go,1990
923,Black Panther,1990
924,The Edge,1990
925,Dodgeball: A True Underdog Story,1990
926,Gone with the Wind,1990
927,Robot Dreams,1990
928,Eternals,1990
929,The Godfather Part III,1990
930,Little Children,1990
931,Rust Creek,1990
932,Death Becomes Her,1990
933,Rear Window,1990
934,Airport,1990
935,Rosemary's Baby,1990
936,American Gangster,1990
937,The Sound of Music,1990
938,Stardust,1990
939,The Bourne Identity,1990
940,Silent Hill,1990
941,Tomb Raider,1990
942,Y tu mamá también,1990
943,Jack Reacher,1990
944,The English Patient,1990
945,God's Own Country,1990
946,Thunderbolts*,2012
947,The Invitation,2012
948,House of Wax,2012
949,Just Go with It,2012
950,Home Alone,2012
951,Bitch,2012
952,Walk the Line,2012
953,Hook,2012
954,Sexy Beast,2012
955,Oblivion,2012
956,War Dogs,2012
957,Us,2012
958,Manchester by the Sea,2012
959,Alita: Battle Angel,2012
960,Erin Brockovich,2012
961,Road Trip,2012
962,Sleepwalkers,2012
963,Run,2012
964,28 Weeks Later,2012
965,Sunshine,2012
966,The Jester,2012
967,Robin Hood: Men in Tights,2012
968,Gangs of New York,2012
969,Crank,2012
970,Bad Boys,2012
971,A Nightmare on Elm Street,2012
972,Not Another Teen Movie,2012
973,Hustle,2012
974,Unbreakable,2012
975,The Beautiful Game,2012
976,Zodiac,2012
977,Holes,2012
978,The Edge of Seventeen,2012
979,Spring Breakers,2012
980,Megamind vs the Doom Syndicate,2012
981,Knocked Up,2012
982,National Lampoon's Animal House,2012
983,Notting Hill,2012
984,Platoon,2012
985,Avengers: Age of Ultron,2012
986,"Three Billboards Outside Ebbing, Missouri",2012
987,The Intern,2012
988,Lowlifes,2012
989,Legend,2012
990,Predestination,2012
991,Showgirls,2012
992,Im Westen nichts Neues,2012
993,Cruel Intentions,2012
994,The Matrix Reloaded,2012
995,Unforgiven,2012
996,Jennifer's Body,2021
997,Once Upon a Time in the West,2021
998,Spoorloos,2021
999,Skyfall,2021
1000,Blue Velvet,2021
1001,Tron: Legacy,2021
1002,Sweet Dreams,2021
1003,X-Men: Dark Phoenix,2021
1004,Busanhaeng,2021
1005,My Cousin Vinny,2021
1006,Harry Potter and the Order of the Phoenix,2021
1007,Cloud Atlas,2021
1008,Mr. Monk's Last Case: A Monk Movie,2021
1009,Despicable Me,2021
1010,Fantastic Beasts: The Secrets of Dumbledore,2021
1011,Verdens verste menneske,2021
1012,Legends of the Fall,2021
1013,Hellboy,2021
1014,21 Jump Street,2021
1015,Shang-Chi and the Legend of the Ten Rings,2021
1016,Gentlemen Broncos,2021
1017,The Mist,2021
1018,The Cabin in the Woods,2021
1019,Possession,2021
1020,Sex and the City,2021
1021,Galaxy Quest,2021
1022,Serenity,2021
1023,Thor: Ragnarok,2021
1024,Lost in Space,2021
1025,The Final: Attack on Wembley,2021
1026,Insidious,2021
1027,Warrior,2021
1028,The Color Purple,2021
1029,Cruella,2021
1030,F9,2021
1031,Dragonkeeper,2021
1032,The Town,2021
1033,How to Date Billy Walsh,2021
1034,The Ritual,2021
